"Plot Title: Air3"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10551601, SEN S/N: 10551601)","End Of File (LGR S/N: 10551601)"
164,06/17/22 05:00:00 AM,14.709,
165,06/17/22 06:00:00 AM,15.187,
166,06/17/22 07:00:00 AM,19.948,
167,06/17/22 08:00:00 AM,26.390,
168,06/17/22 09:00:00 AM,30.356,
169,06/17/22 10:00:00 AM,36.620,
170,06/17/22 11:00:00 AM,36.187,
171,06/17/22 12:00:00 PM,42.046,
172,06/17/22 01:00:00 PM,43.118,
173,06/17/22 02:00:00 PM,30.558,
174,06/17/22 03:00:00 PM,36.620,
175,06/17/22 04:00:00 PM,38.490,
176,06/17/22 05:00:00 PM,30.558,
177,06/17/22 06:00:00 PM,26.977,
178,06/17/22 07:00:00 PM,17.665,
179,06/17/22 08:00:00 PM,16.427,
180,06/17/22 09:00:00 PM,17.189,
181,06/17/22 10:00:00 PM,15.760,
182,06/17/22 11:00:00 PM,15.187,
183,06/18/22 12:00:00 AM,14.996,
184,06/18/22 01:00:00 AM,14.900,
185,06/18/22 02:00:00 AM,15.187,
186,06/18/22 03:00:00 AM,15.378,
187,06/18/22 04:00:00 AM,14.709,
188,06/18/22 05:00:00 AM,14.325,
189,06/18/22 06:00:00 AM,14.996,
190,06/18/22 07:00:00 AM,19.092,
191,06/18/22 08:00:00 AM,30.054,
192,06/18/22 09:00:00 AM,29.953,
193,06/18/22 10:00:00 AM,26.781,
194,06/18/22 11:00:00 AM,23.677,
195,06/18/22 12:00:00 PM,26.879,
196,06/18/22 01:00:00 PM,23.292,
197,06/18/22 02:00:00 PM,23.966,
198,06/18/22 03:00:00 PM,22.046,
199,06/18/22 04:00:00 PM,27.567,
200,06/18/22 05:00:00 PM,26.000,
201,06/18/22 06:00:00 PM,20.710,
202,06/18/22 07:00:00 PM,19.472,
203,06/18/22 08:00:00 PM,18.711,
204,06/18/22 09:00:00 PM,17.284,
205,06/18/22 10:00:00 PM,16.808,
206,06/18/22 11:00:00 PM,16.046,
207,06/19/22 12:00:00 AM,15.951,
208,06/19/22 01:00:00 AM,15.760,
209,06/19/22 02:00:00 AM,15.187,
210,06/19/22 03:00:00 AM,14.900,
211,06/19/22 04:00:00 AM,14.804,
212,06/19/22 05:00:00 AM,14.996,
213,06/19/22 06:00:00 AM,15.569,
214,06/19/22 07:00:00 AM,17.475,
215,06/19/22 08:00:00 AM,28.953,
216,06/19/22 09:00:00 AM,28.456,
217,06/19/22 10:00:00 AM,29.352,
218,06/19/22 11:00:00 AM,29.452,
219,06/19/22 12:00:00 PM,33.326,
220,06/19/22 01:00:00 PM,33.953,
221,06/19/22 02:00:00 PM,20.710,
222,06/19/22 03:00:00 PM,24.448,
223,06/19/22 04:00:00 PM,29.953,
224,06/19/22 05:00:00 PM,30.963,
225,06/19/22 06:00:00 PM,27.468,
226,06/19/22 07:00:00 PM,18.331,
227,06/19/22 08:00:00 PM,16.618,
228,06/19/22 09:00:00 PM,15.569,
229,06/19/22 10:00:00 PM,14.421,
230,06/19/22 11:00:00 PM,13.269,
231,06/20/22 12:00:00 AM,12.110,
232,06/20/22 01:00:00 AM,11.916,
233,06/20/22 02:00:00 AM,11.528,
234,06/20/22 03:00:00 AM,11.431,
235,06/20/22 04:00:00 AM,11.334,
236,06/20/22 05:00:00 AM,11.236,
237,06/20/22 06:00:00 AM,11.916,
238,06/20/22 07:00:00 AM,16.332,
239,06/20/22 08:00:00 AM,27.567,
240,06/20/22 09:00:00 AM,27.370,
241,06/20/22 10:00:00 AM,34.058,
242,06/20/22 11:00:00 AM,26.879,Logged
