,Year,Site,Treatment,Plot,Quadrat,Species,Obs,Canopy_cover,Count,PFT
58,2021,Desert grassland,C,10,1,BOER,2,2,1,PG4
59,2021,Desert grassland,C,10,1,BOER,3,1,3,PG4
60,2021,Desert grassland,C,10,1,BOER,4,0.25,2,PG4
61,2021,Desert grassland,C,10,1,BOER,5,0.1,2,PG4
62,2021,Desert grassland,C,10,2,BOER,1,4,1,PG4
63,2021,Desert grassland,C,10,2,BOER,2,2,1,PG4
64,2021,Desert grassland,C,10,2,BOER,3,0.5,2,PG4
65,2021,Desert grassland,C,10,2,BOER,4,0.25,2,PG4
66,2021,Desert grassland,C,10,2,BOER,5,0.1,2,PG4
67,2021,Desert grassland,W,11,1,BOER,1,3,1,PG4
68,2021,Desert grassland,W,11,1,BOER,2,2,1,PG4
69,2021,Desert grassland,W,11,1,BOER,3,1,1,PG4
70,2021,Desert grassland,W,11,1,BOER,4,0.5,4,PG4
71,2021,Desert grassland,W,11,1,BOER,5,0.25,1,PG4
72,2021,Desert grassland,W,11,2,BOER,1,4,1,PG4
73,2021,Desert grassland,W,11,2,BOER,2,3,2,PG4
74,2021,Desert grassland,W,11,2,BOER,3,2,2,PG4
75,2021,Desert grassland,W,11,2,BOER,4,0.5,2,PG4
76,2021,Desert grassland,W,11,2,BOER,5,0.25,1,PG4
77,2021,Desert grassland,C,3,1,CAJA,1,7,1,PF
78,2021,Desert grassland,D,4,1,CHEN,1,0.25,1,A
79,2021,Desert grassland,D,4,1,CHEN,2,0.1,1,A
80,2021,Desert grassland,D,4,2,CHEN,1,0.25,1,A
81,2021,Desert grassland,W,1,1,CHSES,1,0.05,4,A
82,2021,Desert grassland,W,2,1,CHSES,1,0.05,3,A
83,2021,Desert grassland,W,5,1,CHSES,1,0.01,1,A
84,2021,Desert grassland,C,7,1,CHSES,1,0.05,2,A
85,2021,Desert grassland,C,8,1,CHSES,1,0.1,3,A
86,2021,Desert grassland,C,8,1,CHSES,2,0.05,4,A
87,2021,Desert grassland,C,8,2,CHSES,1,0.1,1,A
88,2021,Desert grassland,C,10,1,CHSES,1,0.1,1,A
89,2021,Desert grassland,C,10,2,CHSES,1,0.1,2,A
90,2021,Desert grassland,W,11,1,CHSES,1,0.05,3,A
91,2021,Desert grassland,W,11,2,CHSES,1,0.05,1,A
92,2021,Desert grassland,W,1,1,KOAM,1,0.1,10,PF
93,2021,Desert grassland,W,1,2,KOAM,1,0.05,12,PF
94,2021,Desert grassland,C,3,1,KOAM,1,0.05,1,PF
95,2021,Desert grassland,D,6,1,KOAM,1,0.05,2,PF
96,2021,Desert grassland,C,7,1,KOAM,1,0.1,2,PF
97,2021,Desert grassland,C,7,1,KOAM,2,0.05,2,PF
98,2021,Desert grassland,C,8,1,KOAM,1,0.1,2,PF
99,2021,Desert grassland,C,8,1,KOAM,2,0.05,5,PF
100,2021,Desert grassland,C,8,2,KOAM,1,0.1,16,PF
101,2021,Desert grassland,C,8,2,KOAM,2,0.05,35,PF
102,2021,Desert grassland,C,10,2,KOAM,1,0.1,1,PF
103,2021,Desert grassland,W,11,1,KOAM,1,0.1,2,PF
104,2021,Desert grassland,W,11,1,KOAM,2,0.05,1,PF
105,2021,Desert grassland,W,11,2,KOAM,1,0.1,1,PF
106,2021,Desert grassland,W,11,2,KOAM,2,0.05,4,PF
107,2021,Desert grassland,D,12,1,KOAM,1,0.05,1,PF
108,2021,Desert grassland,D,12,2,KOAM,1,0.1,1,PF
109,2021,Desert grassland,D,12,2,KOAM,2,0.05,2,PF
110,2021,Desert grassland,D,6,1,LILE,1,0.5,2,PF
111,2021,Desert grassland,W,1,1,PLJA,1,2,3,PG4
112,2021,Desert grassland,W,1,1,PLJA,2,1,1,PG4
113,2021,Desert grassland,W,1,1,PLJA,3,0.5,4,PG4
114,2021,Desert grassland,W,1,1,PLJA,4,0.25,2,PG4
115,2021,Desert grassland,W,1,2,PLJA,1,0.5,2,PG4
116,2021,Desert grassland,W,2,1,PLJA,1,3,1,PG4
117,2021,Desert grassland,W,2,1,PLJA,2,2,2,PG4
118,2021,Desert grassland,W,2,1,PLJA,3,1,2,PG4
119,2021,Desert grassland,W,2,1,PLJA,4,0.5,2,PG4
120,2021,Desert grassland,W,2,1,PLJA,5,0.25,3,PG4
121,2021,Desert grassland,W,2,2,PLJA,1,2,3,PG4
122,2021,Desert grassland,W,2,2,PLJA,2,1,1,PG4
123,2021,Desert grassland,W,2,2,PLJA,3,0.25,1,PG4
124,2021,Desert grassland,C,3,1,PLJA,1,0.5,1,PG4
125,2021,Desert grassland,C,3,2,PLJA,1,2,2,PG4
126,2021,Desert grassland,C,3,2,PLJA,2,1,5,PG4
127,2021,Desert grassland,C,3,2,PLJA,3,0.5,2,PG4
128,2021,Desert grassland,W,5,1,PLJA,1,3,1,PG4
129,2021,Desert grassland,W,5,1,PLJA,2,0.5,1,PG4
130,2021,Desert grassland,W,5,1,PLJA,3,0.1,1,PG4
131,2021,Desert grassland,W,5,1,PLJA,4,0.25,1,PG4
132,2021,Desert grassland,W,5,2,PLJA,1,4,2,PG4
133,2021,Desert grassland,W,5,2,PLJA,2,2,1,PG4
134,2021,Desert grassland,C,7,1,PLJA,1,2,4,PG4
135,2021,Desert grassland,C,7,1,PLJA,2,1,3,PG4
136,2021,Desert grassland,C,7,1,PLJA,3,0.5,4,PG4
137,2021,Desert grassland,C,7,2,PLJA,1,2,1,PG4
138,2021,Desert grassland,C,7,2,PLJA,2,1,4,PG4
139,2021,Desert grassland,C,8,1,PLJA,1,1.5,1,PG4
140,2021,Desert grassland,C,8,1,PLJA,2,1,1,PG4
141,2021,Desert grassland,C,8,1,PLJA,3,0.5,3,PG4
142,2021,Desert grassland,C,8,2,PLJA,1,3,2,PG4
143,2021,Desert grassland,C,8,2,PLJA,2,2,3,PG4
144,2021,Desert grassland,C,8,2,PLJA,3,1,4,PG4
145,2021,Desert grassland,D,9,1,PLJA,1,0.1,1,PG4
146,2021,Desert grassland,W,11,1,PLJA,1,0.1,1,PG4
147,2021,Desert grassland,W,1,1,SATR,1,3,2,A
148,2021,Desert grassland,W,1,1,SATR,2,2,5,A
149,2021,Desert grassland,W,1,1,SATR,3,4,1,A
150,2021,Desert grassland,W,1,1,SATR,4,1,3,A
151,2021,Desert grassland,W,1,1,SATR,5,0.5,3,A
152,2021,Desert grassland,W,1,1,SATR,6,0.25,5,A
153,2021,Desert grassland,W,1,2,SATR,1,4,5,A
154,2021,Desert grassland,W,1,2,SATR,2,2,11,A
155,2021,Desert grassland,W,1,2,SATR,3,1,4,A
156,2021,Desert grassland,W,2,1,SATR,1,4,6,A
157,2021,Desert grassland,W,2,1,SATR,2,2,7,A
158,2021,Desert grassland,W,2,1,SATR,3,1,2,A
159,2021,Desert grassland,W,2,2,SATR,1,5,1,A
160,2021,Desert grassland,W,2,2,SATR,2,4,1,A
161,2021,Desert grassland,W,2,2,SATR,3,2,11,A
162,2021,Desert grassland,W,2,2,SATR,4,0.5,2,A
163,2021,Desert grassland,W,2,2,SATR,5,0.05,2,A
164,2021,Desert grassland,C,3,1,SATR,1,6,1,A
165,2021,Desert grassland,C,3,1,SATR,2,4,4,A
166,2021,Desert grassland,C,3,1,SATR,3,2,4,A
167,2021,Desert grassland,C,3,1,SATR,4,1,3,A
168,2021,Desert grassland,C,3,1,SATR,5,0.5,2,A
169,2021,Desert grassland,C,3,1,SATR,6,0.05,2,A
170,2021,Desert grassland,C,3,2,SATR,1,6,1,A
171,2021,Desert grassland,C,3,2,SATR,2,5,2,A
172,2021,Desert grassland,C,3,2,SATR,3,4,4,A
173,2021,Desert grassland,C,3,2,SATR,4,2,4,A
174,2021,Desert grassland,C,3,2,SATR,5,1,5,A
175,2021,Desert grassland,C,3,2,SATR,6,0.05,2,A
176,2021,Desert grassland,D,4,1,SATR,1,4,2,A
177,2021,Desert grassland,D,4,1,SATR,2,2,8,A
178,2021,Desert grassland,D,4,1,SATR,3,1,3,A
179,2021,Desert grassland,D,4,1,SATR,4,0.05,2,A
180,2021,Desert grassland,D,4,2,SATR,1,9,1,A
181,2021,Desert grassland,D,4,2,SATR,2,4,5,A
182,2021,Desert grassland,D,4,2,SATR,3,2,4,A
183,2021,Desert grassland,D,4,2,SATR,4,1,3,A
184,2021,Desert grassland,W,5,1,SATR,1,9,1,A
185,2021,Desert grassland,W,5,1,SATR,2,4,1,A
186,2021,Desert grassland,W,5,1,SATR,3,2,6,A
187,2021,Desert grassland,W,5,1,SATR,4,1,2,A
188,2021,Desert grassland,W,5,1,SATR,5,0.1,2,A
189,2021,Desert grassland,W,5,2,SATR,1,5,2,A
190,2021,Desert grassland,W,5,2,SATR,2,4,3,A
191,2021,Desert grassland,W,5,2,SATR,3,2,6,A
192,2021,Desert grassland,W,5,2,SATR,4,1,2,A
193,2021,Desert grassland,W,5,2,SATR,5,0.5,2,A
194,2021,Desert grassland,D,6,1,SATR,1,4,3,A
195,2021,Desert grassland,D,6,1,SATR,2,2,2,A
196,2021,Desert grassland,D,6,1,SATR,3,1,5,A
197,2021,Desert grassland,D,6,1,SATR,4,0.5,3,A
198,2021,Desert grassland,D,6,1,SATR,5,0.1,1,A
199,2021,Desert grassland,D,6,2,SATR,1,5,3,A
200,2021,Desert grassland,D,6,2,SATR,2,4,2,A
201,2021,Desert grassland,D,6,2,SATR,3,2,5,A
202,2021,Desert grassland,D,6,2,SATR,4,1,3,A
203,2021,Desert grassland,C,7,1,SATR,1,5,2,A
204,2021,Desert grassland,C,7,1,SATR,2,4,2,A
205,2021,Desert grassland,C,7,1,SATR,3,2,6,A
206,2021,Desert grassland,C,7,1,SATR,4,1,2,A
207,2021,Desert grassland,C,7,1,SATR,5,0.1,2,A
208,2021,Desert grassland,C,7,2,SATR,1,4,4,A
209,2021,Desert grassland,C,7,2,SATR,2,6,1,A
210,2021,Desert grassland,C,7,2,SATR,3,2,4,A
211,2021,Desert grassland,C,7,2,SATR,4,1,2,A
212,2021,Desert grassland,C,7,2,SATR,5,0.05,2,A
213,2021,Desert grassland,C,8,1,SATR,1,4,3,A
214,2021,Desert grassland,C,8,1,SATR,2,5,1,A
215,2021,Desert grassland,C,8,1,SATR,3,2,6,A
216,2021,Desert grassland,C,8,1,SATR,4,1,3,A
217,2021,Desert grassland,C,8,1,SATR,5,0.05,2,A
218,2021,Desert grassland,C,8,1,SATR,6,0.25,1,A
219,2021,Desert grassland,C,8,2,SATR,1,4,2,A
220,2021,Desert grassland,C,8,2,SATR,2,2,7,A
221,2021,Desert grassland,C,8,2,SATR,3,1,2,A
222,2021,Desert grassland,D,9,1,SATR,1,5,3,A
223,2021,Desert grassland,D,9,1,SATR,2,6,1,A
224,2021,Desert grassland,D,9,1,SATR,3,4,3,A
225,2021,Desert grassland,D,9,1,SATR,4,2,6,A
226,2021,Desert grassland,D,9,1,SATR,5,1,1,A
227,2021,Desert grassland,D,9,2,SATR,1,5,3,A
228,2021,Desert grassland,D,9,2,SATR,2,6,1,A
229,2021,Desert grassland,D,9,2,SATR,3,4,2,A
230,2021,Desert grassland,D,9,2,SATR,4,2,3,A
231,2021,Desert grassland,D,9,2,SATR,5,1,5,A
232,2021,Desert grassland,C,10,1,SATR,1,6,2,A
233,2021,Desert grassland,C,10,1,SATR,2,4,4,A
234,2021,Desert grassland,C,10,1,SATR,3,5,1,A
235,2021,Desert grassland,C,10,1,SATR,4,2,4,A
236,2021,Desert grassland,C,10,1,SATR,5,1,2,A
237,2021,Desert grassland,C,10,1,SATR,6,0.5,1,A
238,2021,Desert grassland,C,10,2,SATR,1,6,2,A
239,2021,Desert grassland,C,10,2,SATR,2,4,6,A
240,2021,Desert grassland,C,10,2,SATR,3,2,5,A
241,2021,Desert grassland,C,10,2,SATR,4,1,2,A
242,2021,Desert grassland,W,11,1,SATR,1,5,4,A
243,2021,Desert grassland,W,11,1,SATR,2,4,3,A
244,2021,Desert grassland,W,11,1,SATR,3,2,2,A
245,2021,Desert grassland,W,11,1,SATR,4,1,1,A
246,2021,Desert grassland,W,11,2,SATR,1,5,2,A
247,2021,Desert grassland,W,11,2,SATR,2,4,4,A
248,2021,Desert grassland,W,11,2,SATR,3,2,3,A
249,2021,Desert grassland,W,11,2,SATR,4,1,1,A
250,2021,Desert grassland,W,11,2,SATR,5,0.5,1,A
251,2021,Desert grassland,D,12,1,SATR,1,5,1,A
252,2021,Desert grassland,D,12,1,SATR,2,4,4,A
253,2021,Desert grassland,D,12,1,SATR,3,2,6,A
254,2021,Desert grassland,D,12,1,SATR,4,3,1,A
255,2021,Desert grassland,D,12,1,SATR,5,0.25,1,A
256,2021,Desert grassland,D,12,1,SATR,6,0.05,2,A
257,2021,Desert grassland,D,12,2,SATR,1,6,2,A
258,2021,Desert grassland,D,12,2,SATR,2,4,6,A
259,2021,Desert grassland,D,12,2,SATR,3,2,5,A
260,2021,Desert grassland,D,12,2,SATR,4,1,2,A
261,2021,Desert grassland,D,6,1,SPHA,1,12,1,PF
262,2021,Desert grassland,C,8,1,SPHA,1,0.1,1,PF
263,2021,Desert grassland,D,6,1,UKFO,1,0.05,5,A
264,2021,Desert grassland,C,7,2,UKFO,1,0.05,1,A
265,2021,Ponderosa pine meadow,D,1,2,ACMI,1,0.1,2,PF
266,2021,Ponderosa pine meadow,C,2,1,ACMI,1,0.5,3,PF
267,2021,Ponderosa pine meadow,C,2,1,ACMI,2,0.25,7,PF
268,2021,Ponderosa pine meadow,C,2,1,ACMI,3,0.1,14,PF
269,2021,Ponderosa pine meadow,C,2,1,ACMI,4,0.05,10,PF
270,2021,Ponderosa pine meadow,C,2,2,ACMI,1,0.5,2,PF
271,2021,Ponderosa pine meadow,C,2,2,ACMI,2,0.25,2,PF
272,2021,Ponderosa pine meadow,C,2,2,ACMI,3,0.1,1,PF
273,2021,Ponderosa pine meadow,W,3,1,ACMI,1,0.5,15,PF
274,2021,Ponderosa pine meadow,W,3,1,ACMI,2,1,2,PF
275,2021,Ponderosa pine meadow,W,3,1,ACMI,3,0.25,11,PF
276,2021,Ponderosa pine meadow,W,3,1,ACMI,4,0.1,12,PF
277,2021,Ponderosa pine meadow,W,3,2,ACMI,1,1,5,PF
278,2021,Ponderosa pine meadow,W,3,2,ACMI,2,0.5,16,PF
279,2021,Ponderosa pine meadow,W,3,2,ACMI,3,0.25,17,PF
280,2021,Ponderosa pine meadow,W,3,2,ACMI,4,0.1,12,PF
281,2021,Ponderosa pine meadow,C,5,1,ACMI,1,1,1,PF
282,2021,Ponderosa pine meadow,C,5,1,ACMI,2,0.25,1,PF
283,2021,Ponderosa pine meadow,C,5,2,ACMI,1,0.25,4,PF
284,2021,Ponderosa pine meadow,C,5,2,ACMI,2,0.1,3,PF
285,2021,Ponderosa pine meadow,C,6,1,ACMI,1,1,1,PF
286,2021,Ponderosa pine meadow,C,6,1,ACMI,2,0.25,1,PF
287,2021,Ponderosa pine meadow,C,6,2,ACMI,1,1,5,PF
288,2021,Ponderosa pine meadow,C,6,2,ACMI,2,0.5,6,PF
289,2021,Ponderosa pine meadow,C,6,2,ACMI,3,0.25,7,PF
290,2021,Ponderosa pine meadow,C,6,2,ACMI,4,0.1,8,PF
291,2021,Ponderosa pine meadow,W,8,1,ACMI,1,1,3,PF
292,2021,Ponderosa pine meadow,W,8,1,ACMI,2,0.5,3,PF
293,2021,Ponderosa pine meadow,W,8,1,ACMI,3,0.25,1,PF
294,2021,Ponderosa pine meadow,W,8,2,ACMI,1,0.1,3,PF
295,2021,Ponderosa pine meadow,W,9,1,ACMI,1,1,1,PF
296,2021,Ponderosa pine meadow,W,9,1,ACMI,2,0.5,3,PF
297,2021,Ponderosa pine meadow,W,9,1,ACMI,3,0.1,2,PF
298,2021,Ponderosa pine meadow,C,11,1,ACMI,1,1,3,PF
299,2021,Ponderosa pine meadow,C,11,1,ACMI,2,0.5,4,PF
300,2021,Ponderosa pine meadow,C,11,1,ACMI,3,0.1,8,PF
301,2021,Ponderosa pine meadow,C,11,2,ACMI,1,1,3,PF
302,2021,Ponderosa pine meadow,C,11,2,ACMI,2,0.5,6,PF
303,2021,Ponderosa pine meadow,C,11,2,ACMI,3,0.1,3,PF
304,2021,Ponderosa pine meadow,W,12,1,ACMI,1,0.5,1,PF
305,2021,Ponderosa pine meadow,W,12,1,ACMI,2,0.1,3,PF
306,2021,Ponderosa pine meadow,W,12,2,ACMI,1,0.5,1,PF
307,2021,Ponderosa pine meadow,W,12,2,ACMI,2,0.25,3,PF
308,2021,Ponderosa pine meadow,W,12,2,ACMI,3,0.1,2,PF
309,2021,Ponderosa pine meadow,C,2,1,ALGE,1,2.5,1,PF
310,2021,Ponderosa pine meadow,C,2,1,ALGE,2,0.25,1,PF
311,2021,Ponderosa pine meadow,C,2,2,ALGE,1,1.5,2,PF
312,2021,Ponderosa pine meadow,C,2,2,ALGE,2,1,2,PF
313,2021,Ponderosa pine meadow,C,2,2,ALGE,3,0.25,3,PF
314,2021,Ponderosa pine meadow,W,3,2,ALGE,1,0.5,3,PF
315,2021,Ponderosa pine meadow,W,3,2,ALGE,2,0.25,2,PF
316,2021,Ponderosa pine meadow,W,8,1,ALGE,1,1,1,PF
317,2021,Ponderosa pine meadow,W,8,1,ALGE,2,0.5,3,PF
318,2021,Ponderosa pine meadow,C,11,1,ALGE,1,1,1,PF
319,2021,Ponderosa pine meadow,C,2,2,ANRO,1,0.25,1,PF
320,2021,Ponderosa pine meadow,W,3,2,ANRO,1,1,3,PF
321,2021,Ponderosa pine meadow,W,3,2,ANRO,2,0.5,4,PF
322,2021,Ponderosa pine meadow,W,3,2,ANRO,3,0.25,1,PF
323,2021,Ponderosa pine meadow,W,3,2,ANRO,4,0.1,3,PF
324,2021,Ponderosa pine meadow,D,4,1,ANRO,1,0.5,1,PF
325,2021,Ponderosa pine meadow,D,4,1,ANRO,2,0.25,1,PF
326,2021,Ponderosa pine meadow,D,4,2,ANRO,1,0.5,1,PF
327,2021,Ponderosa pine meadow,C,6,1,ANRO,1,0.1,1,PF
328,2021,Ponderosa pine meadow,C,6,2,ANRO,1,0.1,4,PF
329,2021,Ponderosa pine meadow,C,6,2,ANRO,2,0.05,4,PF
330,2021,Ponderosa pine meadow,D,7,1,ANRO,1,0.5,2,PF
331,2021,Ponderosa pine meadow,W,8,1,ANRO,1,0.1,6,PF
332,2021,Ponderosa pine meadow,W,8,1,ANRO,2,0.5,1,PF
333,2021,Ponderosa pine meadow,W,8,1,ANRO,3,0.25,2,PF
334,2021,Ponderosa pine meadow,W,8,2,ANRO,1,0.1,2,PF
335,2021,Ponderosa pine meadow,W,8,2,ANRO,2,0.05,3,PF
336,2021,Ponderosa pine meadow,W,8,2,ANRO,3,0.25,1,PF
337,2021,Ponderosa pine meadow,D,10,2,ANRO,1,0.1,1,PF
338,2021,Ponderosa pine meadow,W,12,1,ANRO,1,0.5,3,PF
339,2021,Ponderosa pine meadow,W,12,1,ANRO,2,0.1,4,PF
340,2021,Ponderosa pine meadow,D,1,2,ARCA,1,2,1,PF
341,2021,Ponderosa pine meadow,C,2,1,ARCA,1,1,2,PF
342,2021,Ponderosa pine meadow,C,2,1,ARCA,2,0.5,4,PF
343,2021,Ponderosa pine meadow,C,2,1,ARCA,3,0.25,2,PF
344,2021,Ponderosa pine meadow,C,2,2,ARCA,1,2,2,PF
345,2021,Ponderosa pine meadow,C,2,2,ARCA,2,4,5,PF
346,2021,Ponderosa pine meadow,C,2,2,ARCA,3,1,2,PF
347,2021,Ponderosa pine meadow,C,2,2,ARCA,4,0.5,4,PF
348,2021,Ponderosa pine meadow,C,2,2,ARCA,5,0.1,5,PF
349,2021,Ponderosa pine meadow,W,3,1,ARCA,1,2,2,PF
350,2021,Ponderosa pine meadow,W,3,1,ARCA,2,1,4,PF
351,2021,Ponderosa pine meadow,D,4,1,ARCA,1,1,4,PF
352,2021,Ponderosa pine meadow,D,4,1,ARCA,2,2,1,PF
353,2021,Ponderosa pine meadow,D,4,1,ARCA,3,0.5,2,PF
354,2021,Ponderosa pine meadow,C,5,1,ARCA,1,4,4,PF
355,2021,Ponderosa pine meadow,C,5,1,ARCA,2,2,3,PF
356,2021,Ponderosa pine meadow,C,5,1,ARCA,3,1,2,PF
357,2021,Ponderosa pine meadow,C,5,1,ARCA,4,0.5,3,PF
358,2021,Ponderosa pine meadow,C,5,1,ARCA,5,0.25,1,PF
359,2021,Ponderosa pine meadow,C,5,2,ARCA,1,3,1,PF
360,2021,Ponderosa pine meadow,C,5,2,ARCA,2,2,1,PF
361,2021,Ponderosa pine meadow,C,5,2,ARCA,3,1,5,PF
362,2021,Ponderosa pine meadow,C,5,2,ARCA,4,0.5,3,PF
363,2021,Ponderosa pine meadow,C,5,2,ARCA,5,0.1,6,PF
364,2021,Ponderosa pine meadow,C,6,1,ARCA,1,6,2,PF
365,2021,Ponderosa pine meadow,C,6,1,ARCA,2,4,3,PF
366,2021,Ponderosa pine meadow,C,6,1,ARCA,3,2,5,PF
367,2021,Ponderosa pine meadow,C,6,1,ARCA,4,1,4,PF
368,2021,Ponderosa pine meadow,C,6,1,ARCA,5,0.5,6,PF
369,2021,Ponderosa pine meadow,C,6,2,ARCA,1,25,1,PF
370,2021,Ponderosa pine meadow,C,6,2,ARCA,2,10,1,PF
371,2021,Ponderosa pine meadow,D,7,1,ARCA,1,9,1,PF
372,2021,Ponderosa pine meadow,D,7,1,ARCA,2,2,1,PF
373,2021,Ponderosa pine meadow,W,9,1,ARCA,1,1,3,PF
374,2021,Ponderosa pine meadow,W,9,1,ARCA,2,2,3,PF
375,2021,Ponderosa pine meadow,W,9,1,ARCA,3,3,1,PF
376,2021,Ponderosa pine meadow,W,9,1,ARCA,4,0.5,4,PF
377,2021,Ponderosa pine meadow,W,9,1,ARCA,5,0.25,3,PF
378,2021,Ponderosa pine meadow,W,9,1,ARCA,6,0.1,3,PF
379,2021,Ponderosa pine meadow,D,10,1,ARCA,1,0.25,2,PF
380,2021,Ponderosa pine meadow,D,10,1,ARCA,2,0.5,1,PF
381,2021,Ponderosa pine meadow,C,11,1,ARCA,1,2,3,PF
382,2021,Ponderosa pine meadow,C,11,1,ARCA,2,1,5,PF
383,2021,Ponderosa pine meadow,C,11,1,ARCA,3,0.5,5,PF
384,2021,Ponderosa pine meadow,C,11,2,ARCA,1,8,1,PF
385,2021,Ponderosa pine meadow,W,12,1,ARCA,1,3,2,PF
386,2021,Ponderosa pine meadow,W,12,1,ARCA,2,1,2,PF
387,2021,Ponderosa pine meadow,W,12,1,ARCA,3,0.5,1,PF
388,2021,Ponderosa pine meadow,W,12,2,ARCA,1,4,1,PF
389,2021,Ponderosa pine meadow,W,12,2,ARCA,2,2,3,PF
390,2021,Ponderosa pine meadow,W,12,2,ARCA,3,1,3,PF
391,2021,Ponderosa pine meadow,W,12,2,ARCA,4,0.5,1,PF
392,2021,Ponderosa pine meadow,D,1,1,ARFE,1,0.5,1,PF
393,2021,Ponderosa pine meadow,D,1,1,ARFE,2,0.1,1,PF
394,2021,Ponderosa pine meadow,D,1,2,ARFE,1,0.5,1,PF
395,2021,Ponderosa pine meadow,D,1,2,ARFE,2,0.1,1,PF
396,2021,Ponderosa pine meadow,C,2,2,ARFE,1,4,1,PF
397,2021,Ponderosa pine meadow,W,3,1,ARFE,1,1,1,PF
398,2021,Ponderosa pine meadow,W,3,2,ARFE,1,0.5,1,PF
399,2021,Ponderosa pine meadow,W,3,2,ARFE,2,1,1,PF
400,2021,Ponderosa pine meadow,D,4,1,ARFE,1,1,1,PF
401,2021,Ponderosa pine meadow,C,5,1,ARFE,1,0.5,3,PF
402,2021,Ponderosa pine meadow,C,5,1,ARFE,2,0.25,1,PF
403,2021,Ponderosa pine meadow,C,5,2,ARFE,1,0.5,3,PF
404,2021,Ponderosa pine meadow,C,6,1,ARFE,1,0.5,1,PF
405,2021,Ponderosa pine meadow,C,6,2,ARFE,1,0.25,2,PF
406,2021,Ponderosa pine meadow,C,6,2,ARFE,2,0.25,2,PF
