"","Year","Site","Treatment","Plot","Quadrat","Species","Obs","Canopy_cover","Height_cm","Count","NPP_g_m2","PFT"
"56",2015,"ANT","C",7,2,"PLJA",3,2,"33",3,12.1944,"PG4"
"57",2015,"ANT","C",7,2,"PLJA",4,1.5,"30",2,6.0972,"PG4"
"58",2015,"ANT","C",7,2,"PLJA",5,6,"26",1,12.1944,"PG4"
"59",2015,"ANT","C",7,2,"PLJA",6,4,"39",1,8.1296,"PG4"
"60",2015,"ANT","C",7,2,"PLJA",7,0.5,"20",3,3.0486,"PG4"
"61",2015,"ANT","C",8,1,"BOER",1,10,"38",1,42.366,"PG4"
"62",2015,"ANT","C",8,1,"BOER",2,2,"22",1,8.4732,"PG4"
"63",2015,"ANT","C",8,1,"BOER",3,1.5,"26",1,6.3549,"PG4"
"64",2015,"ANT","C",8,1,"BOER",4,1,"22",1,4.2366,"PG4"
"65",2015,"ANT","C",8,1,"BOER",5,7,"31",1,29.6562,"PG4"
"66",2015,"ANT","C",8,1,"BOER",6,1,"9",1,4.2366,"PG4"
"67",2015,"ANT","C",8,1,"BOER",7,0.25,"7",1,1.05915,"PG4"
"68",2015,"ANT","C",8,1,"BOER",8,0.1,"5",1,0.42366,"PG4"
"69",2015,"ANT","C",8,1,"CHSES",1,0.05,"3",3,0.04671,"A"
"70",2015,"ANT","C",8,1,"CHSES",2,0.01,"2",2,0.006228,"A"
"71",2015,"ANT","C",8,1,"CHSES",3,0.25,"3",2,0.1557,"A"
"72",2015,"ANT","C",8,1,"PLJA",1,1,"34",5,10.162,"PG4"
"73",2015,"ANT","C",8,1,"PLJA",2,1.5,"32",3,9.1458,"PG4"
"74",2015,"ANT","C",8,1,"PLJA",3,5,"36",1,10.162,"PG4"
"75",2015,"ANT","C",8,1,"PLJA",4,0.5,"26",6,6.0972,"PG4"
"76",2015,"ANT","C",8,1,"PLJA",5,0.75,"25",3,4.5729,"PG4"
"77",2015,"ANT","C",8,1,"PLJA",6,5,"38",1,10.162,"PG4"
"78",2015,"ANT","C",8,1,"SATR",1,1,"21",1,8.64,"A"
"79",2015,"ANT","C",8,2,"BOER",1,0.5,"26",1,2.1183,"PG4"
"80",2015,"ANT","C",8,2,"BOER",2,0.5,"22",1,2.1183,"PG4"
"81",2015,"ANT","C",8,2,"BOER",3,1,"20",4,16.9464,"PG4"
"82",2015,"ANT","C",8,2,"BOER",4,2,"22",1,8.4732,"PG4"
"83",2015,"ANT","C",8,2,"BOER",5,1.5,"21",1,6.3549,"PG4"
"84",2015,"ANT","C",8,2,"BOER",6,0.75,"19",1,3.17745,"PG4"
"85",2015,"ANT","C",8,2,"CHRE",1,0.5,"7",1,0.06225,"A"
"86",2015,"ANT","C",8,2,"CHSES",1,0.25,"3",6,0.4671,"A"
"87",2015,"ANT","C",8,2,"CHSES",1,0.5,"4",1,0.1557,"A"
"88",2015,"ANT","C",8,2,"CHSES",2,0.1,"3",7,0.21798,"A"
"89",2015,"ANT","C",8,2,"CHSES",3,0.01,"1",4,0.012456,"A"
"90",2015,"ANT","C",8,2,"CHSES",4,0.05,"2",5,0.07785,"A"
"91",2015,"ANT","C",8,2,"PLJA",1,2.5,"45",1,5.081,"PG4"
"92",2015,"ANT","C",8,2,"PLJA",1,0.05,"4",1,0.10162,"PG4"
"93",2015,"ANT","C",8,2,"PLJA",2,2,"29",4,16.2592,"PG4"
"94",2015,"ANT","C",8,2,"PLJA",3,1,"32",5,10.162,"PG4"
"95",2015,"ANT","C",8,2,"PLJA",4,4,"43",1,8.1296,"PG4"
"96",2015,"ANT","C",8,2,"PLJA",5,6,"28",1,12.1944,"PG4"
"97",2015,"ANT","C",8,2,"PLJA",6,3,"33",1,6.0972,"PG4"
"98",2015,"ANT","C",8,2,"PLJA",7,1,"38",1,2.0324,"PG4"
"99",2015,"ANT","C",8,2,"PLJA",8,0.25,"21",1,0.5081,"PG4"
"100",2015,"ANT","C",8,2,"SATR",1,1.5,"8",1,12.96,"A"
"101",2015,"ANT","C",8,2,"SATR",2,1,"6",1,8.64,"A"
"102",2015,"ANT","C",10,1,"BOER",1,15,"25",1,63.549,"PG4"
"103",2015,"ANT","C",10,1,"BOER",2,2,"19",1,8.4732,"PG4"
"104",2015,"ANT","C",10,1,"BOER",3,0.25,"7",2,2.1183,"PG4"
"105",2015,"ANT","C",10,1,"CHRE",1,0.5,"9",2,0.1245,"A"
"106",2015,"ANT","C",10,1,"CHSES",1,1,"3",1,0.3114,"A"
"107",2015,"ANT","C",10,1,"CHSES",2,0.25,"2",3,0.23355,"A"
"108",2015,"ANT","C",10,1,"CHSES",3,0.1,"2",3,0.09342,"A"
"109",2015,"ANT","C",10,1,"CHSES",4,0.05,"2",2,0.03114,"A"
"110",2015,"ANT","C",10,1,"KOAM",1,0.75,"28",1,6.29625,"PF"
"111",2015,"ANT","C",10,1,"MEMO",1,0.1,"4",2,0.1493,"A"
"112",2015,"ANT","C",10,1,"MEMO",2,0.25,"15",1,0.173875,"A"
"113",2015,"ANT","C",10,1,"PLJA",1,3,"30",3,18.2916,"PG4"
"114",2015,"ANT","C",10,1,"PLJA",2,25,"25",2,101.62,"PG4"
"115",2015,"ANT","C",10,1,"PLJA",3,4,"29",1,8.1296,"PG4"
"116",2015,"ANT","C",10,1,"PLJA",4,1,"23",6,12.1944,"PG4"
"117",2015,"ANT","C",10,1,"PLJA",5,0.75,"16",2,3.0486,"PG4"
"118",2015,"ANT","C",10,1,"PLJA",6,0.1,"12",2,0.40648,"PG4"
"119",2015,"ANT","C",10,2,"BOER",1,15,"34",1,63.549,"PG4"
"120",2015,"ANT","C",10,2,"BOER",2,2.5,"17",1,10.5915,"PG4"
"121",2015,"ANT","C",10,2,"BOER",3,6,"29",1,25.4196,"PG4"
"122",2015,"ANT","C",10,2,"BOER",4,2,"24",1,8.4732,"PG4"
"123",2015,"ANT","C",10,2,"BOER",5,1,"19",1,4.2366,"PG4"
"124",2015,"ANT","C",10,2,"BOER",6,5,"23",1,21.183,"PG4"
"125",2015,"ANT","C",10,2,"BOER",7,1.5,"24",1,6.3549,"PG4"
"126",2015,"ANT","C",10,2,"BOER",8,0.1,"4",8,3.38928,"PG4"
"127",2015,"ANT","C",10,2,"BOER",9,0.5,"22",1,2.1183,"PG4"
"128",2015,"ANT","C",10,2,"CHSES",1,0.5,"2",1,0.1557,"A"
"129",2015,"ANT","C",10,2,"CHSES",2,0.05,"2",2,0.03114,"A"
"130",2015,"ANT","C",10,2,"CHSES",3,0.01,"1",4,0.012456,"A"
"131",2015,"ANT","C",10,2,"MEMO",1,0.25,"14",3,0.521625,"A"
"132",2015,"ANT","C",10,2,"PLJA",1,3,"19",1,6.0972,"PG4"
"133",2015,"ANT","C",10,2,"PLJA",2,2,"18",3,12.1944,"PG4"
"134",2015,"ANT","C",10,2,"PLJA",3,1,"16",3,6.0972,"PG4"
"135",2015,"ANT","C",10,2,"PLJA",4,0.5,"16",4,4.0648,"PG4"
"136",2015,"ANT","C",10,2,"PLJA",5,1.5,"23",1,3.0486,"PG4"
"137",2015,"ANT","D",4,1,"BOER",1,5,"30",3,63.549,"PG4"
"138",2015,"ANT","D",4,1,"BOER",2,3,"20",2,25.4196,"PG4"
"139",2015,"ANT","D",4,1,"BOER",3,1,"15",1,4.2366,"PG4"
"140",2015,"ANT","D",4,1,"BOER",4,0.25,"8",6,6.3549,"PG4"
"141",2015,"ANT","D",4,1,"BOER",5,15,"35",1,63.549,"PG4"
"142",2015,"ANT","D",4,1,"BOER",6,2,"20",2,16.9464,"PG4"
"143",2015,"ANT","D",4,1,"CHRE",1,0.25,"7",1,0.031125,"A"
"144",2015,"ANT","D",4,1,"CHRE",2,0.1,"8",1,0.01245,"A"
"145",2015,"ANT","D",4,1,"CHSES",1,0.1,"4",5,0.1557,"A"
"146",2015,"ANT","D",4,1,"CHSES",2,0.5,"8",4,0.6228,"A"
"147",2015,"ANT","D",4,1,"CHSES",3,0.25,"5",5,0.38925,"A"
"148",2015,"ANT","D",4,1,"PLJA",1,1,"30",3,6.0972,"PG4"
"149",2015,"ANT","D",4,1,"PLJA",2,1.5,"30",1,3.0486,"PG4"
"150",2015,"ANT","D",4,1,"PLJA",3,0.25,"20",3,1.5243,"PG4"
"151",2015,"ANT","D",4,1,"PLJA",4,0.5,"20",5,5.081,"PG4"
"152",2015,"ANT","D",4,1,"SATR",1,0.1,"10",1,0.864,"A"
"153",2015,"ANT","D",4,2,"BOER",1,9,"30",1,38.1294,"PG4"
"154",2015,"ANT","D",4,2,"BOER",2,3,"20",2,25.4196,"PG4"
"155",2015,"ANT","D",4,2,"BOER",3,1,"10",4,16.9464,"PG4"
"156",2015,"ANT","D",4,2,"BOER",4,1,"20",1,4.2366,"PG4"
"157",2015,"ANT","D",4,2,"BOER",5,0.5,"10",5,10.5915,"PG4"
"158",2015,"ANT","D",4,2,"CHRE",1,0.1,"8",1,0.01245,"A"
"159",2015,"ANT","D",4,2,"CHSES",1,0.25,"6",11,0.85635,"A"
"160",2015,"ANT","D",4,2,"KOAM",1,1,"30",1,8.395,"PF"
"161",2015,"ANT","D",4,2,"PLJA",1,0.5,"20",6,6.0972,"PG4"
"162",2015,"ANT","D",4,2,"PLJA",2,1,"25",4,8.1296,"PG4"
"163",2015,"ANT","D",4,2,"PLJA",3,2,"25",2,8.1296,"PG4"
"164",2015,"ANT","D",4,2,"PLJA",4,1,"20",4,8.1296,"PG4"
"165",2015,"ANT","D",6,1,"BOER",1,1,"20",1,4.2366,"PG4"
"166",2015,"ANT","D",6,1,"BOER",2,1,"20",1,4.2366,"PG4"
"167",2015,"ANT","D",6,1,"BOER",3,5,"25",1,21.183,"PG4"
"168",2015,"ANT","D",6,1,"BOER",4,6,"20",1,25.4196,"PG4"
"169",2015,"ANT","D",6,1,"BOER",5,0.5,"8",7,14.8281,"PG4"
"170",2015,"ANT","D",6,1,"BOER",6,0.25,"5",5,5.29575,"PG4"
"171",2015,"ANT","D",6,1,"CHRE",1,0.1,"5",4,0.0498,"A"
"172",2015,"ANT","D",6,1,"CHSES",1,0.1,"4",4,0.12456,"A"
"173",2015,"ANT","D",6,1,"CHSES",2,0.25,"4",1,0.07785,"A"
"174",2015,"ANT","D",6,1,"PLJA",1,10,"30",1,20.324,"PG4"
"175",2015,"ANT","D",6,1,"PLJA",2,3,"25",1,6.0972,"PG4"
"176",2015,"ANT","D",6,1,"PLJA",3,4,"30",2,16.2592,"PG4"
"177",2015,"ANT","D",6,1,"PLJA",4,1,"20",3,6.0972,"PG4"
"178",2015,"ANT","D",6,1,"PLJA",5,2,"25",1,4.0648,"PG4"
"179",2015,"ANT","D",6,1,"PLJA",6,1,"20",4,8.1296,"PG4"
"180",2015,"ANT","D",6,1,"PLJA",7,2,"20",1,4.0648,"PG4"
"181",2015,"ANT","D",6,1,"PLJA",8,0.5,"15",4,4.0648,"PG4"
"182",2015,"ANT","D",6,1,"SATR",1,0.5,"18",1,4.32,"A"
"183",2015,"ANT","D",6,1,"SPHA",1,2,"30",1,7.13,"PF"
"184",2015,"ANT","D",6,2,"BOER",1,3,"20",2,25.4196,"PG4"
"185",2015,"ANT","D",6,2,"BOER",2,1,"20",3,12.7098,"PG4"
"186",2015,"ANT","D",6,2,"BOER",3,7,"20",1,29.6562,"PG4"
"187",2015,"ANT","D",6,2,"BOER",4,5,"20",1,21.183,"PG4"
"188",2015,"ANT","D",6,2,"BOER",5,1,"10",2,8.4732,"PG4"
"189",2015,"ANT","D",6,2,"BOER",6,0.5,"15",8,16.9464,"PG4"
"190",2015,"ANT","D",6,2,"BOER",7,0.25,"8",10,10.5915,"PG4"
"191",2015,"ANT","D",6,2,"CAJA",1,0.25,"23",2,0.25,"PF"
"192",2015,"ANT","D",6,2,"CAJA",2,0.5,"25",1,0.57,"PF"
"193",2015,"ANT","D",6,2,"CAJA",3,1,"30",1,2.845,"PF"
"194",2015,"ANT","D",6,2,"CHSES",1,0.1,"3",4,0.12456,"A"
"195",2015,"ANT","D",6,2,"CHSES",2,0.25,"5",2,0.1557,"A"
"196",2015,"ANT","D",6,2,"PLJA",1,3,"30",3,18.2916,"PG4"
"197",2015,"ANT","D",6,2,"PLJA",2,2,"5",1,4.0648,"PG4"
"198",2015,"ANT","D",6,2,"PLJA",3,1,"20",9,18.2916,"PG4"
"199",2015,"ANT","D",6,2,"PLJA",4,0.5,"15",4,4.0648,"PG4"
"200",2015,"ANT","D",9,1,"BOER",1,5,"17",2,42.366,"PG4"
"201",2015,"ANT","D",9,1,"BOER",2,6,"28",1,25.4196,"PG4"
"202",2015,"ANT","D",9,1,"BOER",3,9,"27",1,38.1294,"PG4"
"203",2015,"ANT","D",9,1,"BOER",4,12,"29",1,50.8392,"PG4"
"204",2015,"ANT","D",9,1,"BOER",5,8,"22",1,33.8928,"PG4"
"205",2015,"ANT","D",9,1,"BOER",6,1.5,"18",3,19.0647,"PG4"
"206",2015,"ANT","D",9,1,"BOER",7,1,"15",5,21.183,"PG4"
"207",2015,"ANT","D",9,1,"BOER",8,0.25,"6",3,3.17745,"PG4"
"208",2015,"ANT","D",9,1,"CHRE",1,0.5,"8",4,0.249,"A"
"209",2015,"ANT","D",9,1,"CHRE",2,0.25,"7",1,0.031125,"A"
"210",2015,"ANT","D",9,1,"CHSES",1,0.25,"2",1,0.07785,"A"
"211",2015,"ANT","D",9,1,"KOAM",1,0.25,"9",1,2.09875,"PF"
"212",2015,"ANT","D",9,1,"PLJA",1,3,"24",1,6.0972,"PG4"
"213",2015,"ANT","D",9,1,"PLJA",2,0.25,"25",1,0.5081,"PG4"
"214",2015,"ANT","D",9,1,"PLJA",3,0.5,"19",1,1.0162,"PG4"
"215",2015,"ANT","D",9,2,"BOER",1,5,"23",1,21.183,"PG4"
"216",2015,"ANT","D",9,2,"BOER",2,4,"22",1,16.9464,"PG4"
"217",2015,"ANT","D",9,2,"BOER",3,3,"25",1,12.7098,"PG4"
"218",2015,"ANT","D",9,2,"BOER",4,1.5,"23",1,6.3549,"PG4"
"219",2015,"ANT","D",9,2,"BOER",5,0.1,"4",4,1.69464,"PG4"
"220",2015,"ANT","D",9,2,"BOER",6,1,"11",2,8.4732,"PG4"
"221",2015,"ANT","D",9,2,"BOER",7,0.05,"7",2,0.42366,"PG4"
"222",2015,"ANT","D",9,2,"BOER",8,0.5,"9",1,2.1183,"PG4"
"223",2015,"ANT","D",9,2,"CHRE",1,0.01,"3",1,0.001245,"A"
"224",2015,"ANT","D",9,2,"CHRE",2,1.5,"8",1,0.18675,"A"
"225",2015,"ANT","D",9,2,"CHSES",1,1,"2",2,0.6228,"A"
"226",2015,"ANT","D",9,2,"CHSES",2,0.25,"5",2,0.1557,"A"
"227",2015,"ANT","D",9,2,"CHSES",3,0.1,"2",2,0.06228,"A"
"228",2015,"ANT","D",9,2,"CHSES",4,0.5,"6",1,0.1557,"A"
"229",2015,"ANT","D",9,2,"MEMO",1,0.25,"9",1,0.173875,"A"
"230",2015,"ANT","D",9,2,"PLJA",1,1,"28",3,6.0972,"PG4"
"231",2015,"ANT","D",9,2,"PLJA",2,0.5,"33",9,9.1458,"PG4"
"232",2015,"ANT","D",9,2,"PLJA",3,2.5,"25",3,15.243,"PG4"
"233",2015,"ANT","D",9,2,"PLJA",4,0.75,"29",2,3.0486,"PG4"
"234",2015,"ANT","D",9,2,"PLJA",5,3,"26",1,6.0972,"PG4"
"235",2015,"ANT","D",12,1,"BOER",1,6,"24",1,25.4196,"PG4"
"236",2015,"ANT","D",12,1,"BOER",1,0.25,"14",3,3.17745,"PG4"
"237",2015,"ANT","D",12,1,"BOER",2,1,"22",1,4.2366,"PG4"
"238",2015,"ANT","D",12,1,"BOER",3,0.25,"20",1,1.05915,"PG4"
"239",2015,"ANT","D",12,1,"BOER",4,10,"23",1,42.366,"PG4"
"240",2015,"ANT","D",12,1,"BOER",5,8,"29",1,33.8928,"PG4"
"241",2015,"ANT","D",12,1,"BOER",6,1.5,"21",1,6.3549,"PG4"
"242",2015,"ANT","D",12,1,"CHSES",1,0.1,"3",1,0.03114,"A"
"243",2015,"ANT","D",12,1,"CHSES",2,0.05,"2",4,0.06228,"A"
"244",2015,"ANT","D",12,1,"CHSES",3,0.5,"2",2,0.3114,"A"
"245",2015,"ANT","D",12,1,"KOAM",1,2.5,"42",1,20.9875,"PF"
"246",2015,"ANT","D",12,1,"KOAM",2,1,"22",1,8.395,"PF"
"247",2015,"ANT","D",12,1,"KOAM",3,1.5,"29",1,12.5925,"PF"
"248",2015,"ANT","D",12,1,"KOAM",4,0.25,"22",1,2.09875,"PF"
"249",2015,"ANT","D",12,1,"PLJA",1,2,"31",1,4.0648,"PG4"
"250",2015,"ANT","D",12,1,"PLJA",2,2.5,"28",1,5.081,"PG4"
"251",2015,"ANT","D",12,1,"PLJA",3,1.5,"26",3,9.1458,"PG4"
"252",2015,"ANT","D",12,1,"PLJA",4,1,"23",4,8.1296,"PG4"
"253",2015,"ANT","D",12,1,"PLJA",5,3.5,"26",1,7.1134,"PG4"
"254",2015,"ANT","D",12,1,"PLJA",6,0.5,"21",5,5.081,"PG4"
"255",2015,"ANT","D",12,1,"SATR",1,0.75,"14",1,6.48,"A"
"256",2015,"ANT","D",12,2,"BOER",1,5,"23",1,21.183,"PG4"
"257",2015,"ANT","D",12,2,"BOER",2,2.5,"24",3,31.7745,"PG4"
"258",2015,"ANT","D",12,2,"BOER",3,1,"21",1,4.2366,"PG4"
"259",2015,"ANT","D",12,2,"BOER",4,0.5,"16",1,2.1183,"PG4"
"260",2015,"ANT","D",12,2,"BOER",5,0.25,"11",3,3.17745,"PG4"
"261",2015,"ANT","D",12,2,"CHSES",1,0.1,"3",3,0.09342,"A"
"262",2015,"ANT","D",12,2,"CHSES",2,0.25,"4",2,0.1557,"A"
"263",2015,"ANT","D",12,2,"CHSES",3,0.05,"2",3,0.04671,"A"
"264",2015,"ANT","D",12,2,"KOAM",1,0.05,"4",1,0.41975,"PF"
"265",2015,"ANT","D",12,2,"PLJA",1,3,"27",4,24.3888,"PG4"
"266",2015,"ANT","D",12,2,"PLJA",2,1.5,"24",2,6.0972,"PG4"
"267",2015,"ANT","D",12,2,"PLJA",3,2,"23",2,8.1296,"PG4"
"268",2015,"ANT","D",12,2,"PLJA",4,1.5,"22",3,9.1458,"PG4"
"269",2015,"ANT","D",12,2,"PLJA",5,2.5,"25",1,5.081,"PG4"
"270",2015,"ANT","D",12,2,"PLJA",6,1,"21",2,4.0648,"PG4"
"271",2015,"ANT","D",12,2,"PLJA",7,0.5,"16",3,3.0486,"PG4"
"272",2015,"ANT","D",12,2,"PLJA",8,0.25,"27",8,4.0648,"PG4"
"273",2015,"ANT","D",12,2,"SATR",1,2.5,"26",1,21.6,"A"
"274",2015,"ANT","W",1,1,"BOER",1,4,"7",1,16.9464,"PG4"
"275",2015,"ANT","W",1,1,"BOER",2,5,"22",1,21.183,"PG4"
"276",2015,"ANT","W",1,1,"BOER",3,0.25,"13",6,6.3549,"PG4"
"277",2015,"ANT","W",1,1,"BOER",4,0.1,"8",2,0.84732,"PG4"
"278",2015,"ANT","W",1,1,"BOER",5,1,"14",1,4.2366,"PG4"
"279",2015,"ANT","W",1,1,"BOER",6,1,"22",1,4.2366,"PG4"
"280",2015,"ANT","W",1,1,"BOER",7,12,"25",1,50.8392,"PG4"
"281",2015,"ANT","W",1,1,"BOER",8,1,"10",3,12.7098,"PG4"
"282",2015,"ANT","W",1,1,"CHSES",1,0.1,"3",1,0.03114,"A"
"283",2015,"ANT","W",1,1,"CHSES",2,1,"4",4,1.2456,"A"
"284",2015,"ANT","W",1,1,"CHSES",3,0.5,"3",4,0.6228,"A"
"285",2015,"ANT","W",1,1,"KOAM",1,0.25,"18",2,4.1975,"PF"
"286",2015,"ANT","W",1,1,"PLJA",1,2,"22",3,12.1944,"PG4"
"287",2015,"ANT","W",1,1,"PLJA",2,3,"30",4,24.3888,"PG4"
"288",2015,"ANT","W",1,1,"PLJA",3,1,"20",1,2.0324,"PG4"
"289",2015,"ANT","W",1,1,"PLJA",4,1,"40",2,4.0648,"PG4"
"290",2015,"ANT","W",1,1,"PLJA",5,2,"40",1,4.0648,"PG4"
"291",2015,"ANT","W",1,2,"ASSP",1,0.1,"4",1,0.02,"PF"
"292",2015,"ANT","W",1,2,"BOER",1,1.5,"20",1,6.3549,"PG4"
"293",2015,"ANT","W",1,2,"BOER",2,0.25,"4",1,1.05915,"PG4"
"294",2015,"ANT","W",1,2,"BOER",3,0.5,"20",1,2.1183,"PG4"
"295",2015,"ANT","W",1,2,"BOER",4,6,"30",2,50.8392,"PG4"
"296",2015,"ANT","W",1,2,"BOER",5,0.5,"15",5,10.5915,"PG4"
"297",2015,"ANT","W",1,2,"BOER",6,0.25,"5",1,1.05915,"PG4"
"298",2015,"ANT","W",1,2,"BOER",7,5,"20",1,21.183,"PG4"
"299",2015,"ANT","W",1,2,"BOER",8,2,"15",1,8.4732,"PG4"
"300",2015,"ANT","W",1,2,"CHSES",1,0.25,"4",10,0.7785,"A"
"301",2015,"ANT","W",1,2,"CHSES",2,0.1,"3",3,0.09342,"A"
"302",2015,"ANT","W",1,2,"CHSES",3,0.5,"3",3,0.4671,"A"
"303",2015,"ANT","W",1,2,"CHSES",4,1,"4",1,0.3114,"A"
"304",2015,"ANT","W",1,2,"PLJA",1,2,"40",2,8.1296,"PG4"
"305",2015,"ANT","W",1,2,"PLJA",2,1,"30",2,4.0648,"PG4"
"306",2015,"ANT","W",1,2,"PLJA",3,0.5,"30",2,2.0324,"PG4"
"307",2015,"ANT","W",1,2,"PLJA",4,5,"35",1,10.162,"PG4"
"308",2015,"ANT","W",1,2,"PLJA",5,2,"30",1,4.0648,"PG4"
"309",2015,"ANT","W",2,1,"BOER",1,4,"30",1,16.9464,"PG4"
"310",2015,"ANT","W",2,1,"BOER",2,4,"30",3,50.8392,"PG4"
"311",2015,"ANT","W",2,1,"BOER",3,9,"20",1,38.1294,"PG4"
"312",2015,"ANT","W",2,1,"BOER",4,8,"40",1,33.8928,"PG4"
"313",2015,"ANT","W",2,1,"BOER",5,1,"20",1,4.2366,"PG4"
"314",2015,"ANT","W",2,1,"BOER",6,0.5,"12",1,2.1183,"PG4"
"315",2015,"ANT","W",2,1,"BOER",7,0.25,"10",5,5.29575,"PG4"
"316",2015,"ANT","W",2,1,"BOER",8,0.5,"15",3,6.3549,"PG4"
"317",2015,"ANT","W",2,1,"BOER",9,0.25,"5",3,3.17745,"PG4"
"318",2015,"ANT","W",2,1,"CHSES",1,0.25,"2",5,0.38925,"A"
"319",2015,"ANT","W",2,1,"CHSES",2,0.5,"4",2,0.3114,"A"
"320",2015,"ANT","W",2,1,"CHSES",3,0.5,"10",2,0.3114,"A"
"321",2015,"ANT","W",2,1,"PLJA",1,0.5,"20",4,4.0648,"PG4"
"322",2015,"ANT","W",2,1,"PLJA",2,1,"30",3,6.0972,"PG4"
